"filename", "language", "JSON", "Markdown", "Groovy", "Java Properties", "JSON with Comments", "Java", "Batch", "comment", "blank", "total"
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\ObsidianCANSparkMax.java", "Java", 0, 0, 0, 0, 0, 67, 0, 24, 9, 100
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\ObsidianCanandcolor.java", "Java", 0, 0, 0, 0, 0, 66, 0, 19, 16, 101
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\VisionConstants.java", "Java", 0, 0, 0, 0, 0, 27, 0, 22, 9, 58
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\VisionIO.java", "Java", 0, 0, 0, 0, 0, 28, 0, 14, 9, 51
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\VisionIOLimelight.java", "Java", 0, 0, 0, 0, 0, 96, 0, 38, 22, 156
"c:\FRCProjects\5454\2025\5454-2025-GameBot\src\main\java\frc\robot\utilities\photonvision.java", "Java", 0, 0, 0, 0, 0, 19, 0, 1, 6, 26
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\AdvantageKit.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\PathplannerLib.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\Phoenix5-frc2025-latest.json", "JSON", 171, 0, 0, 0, 0, 0, 0, 0, 0, 171
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\Phoenix6-frc2025-latest.json", "JSON", 419, 0, 0, 0, 0, 0, 0, 0, 0, 419
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\REVLib.json", "JSON", 71, 0, 0, 0, 0, 0, 0, 0, 0, 71
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\ReduxLib-2025.0.1.json", "JSON", 72, 0, 0, 0, 0, 0, 0, 0, 0, 72
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\URCL.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 0, 65
"c:\FRCProjects\5454\2025\5454-2025-GameBot\vendordeps\WPILibNewCommands.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"Total", "-", 1081, 22, 98, 7, 32, 1936, 41, 511, 525, 4253
